
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
3C:B7:4B:17:44:5D, 2019-11-16 19:31:32, 2019-11-16 19:50:25,  1,  54, WPA2, CCMP,PSK, -78,      248,        0,   0.  0.  0.  0,  12, Boutique 504, 
3C:B7:4B:17:44:5E, 2019-11-16 19:31:32, 2019-11-16 19:50:25,  1,  54, WPA2, CCMP,PSK, -78,      239,        0,   0.  0.  0.  0,   0, , 
3C:B7:4B:17:44:62, 2019-11-16 19:31:32, 2019-11-16 19:50:25,  1,  54, WPA2 WPA, CCMP TKIP, MGT, -79,      249,        0,   0.  0.  0.  0,   0, , 
9C:1E:95:99:E3:32, 2019-11-16 19:44:04, 2019-11-16 19:50:23,  3,  54, WPA2, CCMP,PSK, -81,        8,        3,   0.  0.  0.  0,   9, TELUS5292, 
9C:1E:95:A6:E1:A2, 2019-11-16 19:31:25, 2019-11-16 19:50:22, 11,  54, WPA2, CCMP,PSK, -82,      182,       18,   0.  0.  0.  0,   9, TELUS3783, 
0C:47:3D:B5:16:C8, 2019-11-16 19:31:55, 2019-11-16 19:50:23,  9,  54, WPA2, CCMP TKIP,PSK, -82,       24,        0,   0.  0.  0.  0,   8, CGN-16C0, 
AC:20:2E:1B:60:C8, 2019-11-16 19:33:39, 2019-11-16 19:50:24,  6,  54, WPA2, CCMP,PSK, -84,       38,        0,   0.  0.  0.  0,  11, SHAW-1B60C0, 
0C:47:3D:B5:16:C9, 2019-11-16 19:33:34, 2019-11-16 19:50:23,  9,  54, WPA2, CCMP,PSK, -84,        5,        0,   0.  0.  0.  0,  10, RSS-B516C0, 
FC:2B:B2:B6:71:22, 2019-11-16 19:31:27, 2019-11-16 19:50:27, 11,  54, WPA2, CCMP,PSK, -85,      213,       12,   0.  0.  0.  0,  24, Aintnobodygotwififorthat, 
00:FC:8D:EE:9D:E8, 2019-11-16 19:46:06, 2019-11-16 19:50:24,  6,  54, WPA2, CCMP TKIP,PSK, -85,        8,        1,   0.  0.  0.  0,  11, SHAW-EE9DE0, 
3C:B7:4B:17:76:45, 2019-11-16 19:32:16, 2019-11-16 19:50:10,  1,  54, WPA2, CCMP,PSK, -76,       42,        0,   0.  0.  0.  0,   0, , 
3C:B7:4B:17:76:44, 2019-11-16 19:31:57, 2019-11-16 19:50:14,  1,  54, WPA2, CCMP,PSK, -79,       42,        0,   0.  0.  0.  0,  13, Bitasinternet, 
9C:1E:95:38:DF:A2, 2019-11-16 19:46:14, 2019-11-16 19:50:10, 11,  54, WPA2, CCMP,PSK, -84,        3,        2,   0.  0.  0.  0,   9, TELUS1225, 
70:62:B8:70:F0:06, 2019-11-16 19:44:24, 2019-11-16 19:50:03,  1,  54, WPA2, CCMP,PSK, -78,        6,        9,   0.  0.  0.  0,   7, CHAN2.4, 
44:1C:12:37:78:5E, 2019-11-16 19:31:50, 2019-11-16 19:50:03,  1,  54, WPA2, CCMP,PSK, -81,       36,        0,   0.  0.  0.  0,   0, , 
BC:9B:68:46:3A:57, 2019-11-16 19:31:31, 2019-11-16 19:50:03,  6,  54, WPA2, CCMP,PSK, -81,       31,        0,   0.  0.  0.  0,   0, , 
BC:9B:68:46:3A:5B, 2019-11-16 19:31:42, 2019-11-16 19:50:03,  6,  54, WPA2 WPA, CCMP TKIP, MGT, -83,       28,        0,   0.  0.  0.  0,   0, , 
DC:FE:07:82:44:38, 2019-11-16 19:34:49, 2019-11-16 19:50:03,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -84,       26,        0,   0.  0.  0.  0,  11, SHAW-846E8E, 
A8:4E:3F:4E:CA:68, 2019-11-16 19:44:54, 2019-11-16 19:49:58, 11,  54, WPA2, CCMP,PSK, -84,        5,        0,   0.  0.  0.  0,  11, SHAW-4ECA60, 
64:77:7D:9C:CF:88, 2019-11-16 19:31:25, 2019-11-16 19:50:02, 11,  54, WPA2, CCMP,PSK, -85,       26,        0,   0.  0.  0.  0,  11, SHAW-ARKHAM, 
70:F1:96:58:2D:A2, 2019-11-16 19:31:49, 2019-11-16 19:49:59,  6,  54, WPA2, CCMP,PSK, -88,        4,        5,   0.  0.  0.  0,  14, TELUS2119-2.4G, 
A0:40:A0:98:7C:7B, 2019-11-16 19:31:48, 2019-11-16 19:49:49,  2,  54, WPA2, CCMP,PSK, -80,       99,        1,   0.  0.  0.  0,   9, NETGEAR19, 
9C:1E:95:35:AB:42, 2019-11-16 19:36:52, 2019-11-16 19:49:49, 11,  54, WPA2, CCMP,PSK, -85,        3,        9,   0.  0.  0.  0,   9, TELUS3939, 
00:71:C2:70:22:38, 2019-11-16 19:43:30, 2019-11-16 19:49:34,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -86,        3,        0,   0.  0.  0.  0,  12, Yosemite Sam, 
78:32:1B:45:7F:E6, 2019-11-16 19:46:55, 2019-11-16 19:49:10,  8,  54, WPA2, CCMP TKIP,PSK, -81,        7,        1,   0.  0.  0.  0,  21, SimpleSimple_Internal, 
64:77:7D:9C:CF:89, 2019-11-16 19:31:54, 2019-11-16 19:49:00, 11,  54, WPA2, CCMP, MGT, -84,       14,        0,   0.  0.  0.  0,  17, ShawMobileHotspot, 
9C:1E:95:71:35:D2, 2019-11-16 19:32:48, 2019-11-16 19:49:01,  6,  54, WPA2, CCMP,PSK, -85,        1,        1,   0.  0.  0.  0,   9, TELUS4958, 
90:50:CA:45:CD:88, 2019-11-16 19:41:51, 2019-11-16 19:48:46,  6,  54, WPA2, CCMP TKIP,PSK, -87,        2,        0,   0.  0.  0.  0,   9, Pattycake, 
9C:1E:95:EE:0C:02, 2019-11-16 19:32:41, 2019-11-16 19:48:50,  6,  54, WPA2, CCMP,PSK, -87,        4,        0,   0.  0.  0.  0,   9, TELUS4903, 
10:78:5B:F6:A0:82, 2019-11-16 19:43:40, 2019-11-16 19:48:49, 11,  54, WPA2, CCMP,PSK, -88,        9,        0,   0.  0.  0.  0,  12, welcometo603, 
9C:1E:95:AE:AD:82, 2019-11-16 19:46:52, 2019-11-16 19:47:48, 11,  54, WPA2, CCMP,PSK, -84,       11,        0,   0.  0.  0.  0,  10, GroundLife, 
18:D6:C7:FA:36:89, 2019-11-16 19:35:54, 2019-11-16 19:47:23,  1,  54, WPA2 WPA, CCMP,PSK, -84,       17,        0,   0.  0.  0.  0,   7, CIA.2.4, 
9C:1E:95:FF:8A:42, 2019-11-16 19:31:26, 2019-11-16 19:47:10, 11,  54, WPA2, CCMP,PSK, -87,       29,        0,   0.  0.  0.  0,   9, TELUS4919, 
90:50:CA:37:58:E8, 2019-11-16 19:34:26, 2019-11-16 19:46:50,  6,  54, WPA2, CCMP TKIP,PSK, -88,        4,        0,   0.  0.  0.  0,  11, SHAW-3758E0, 
9C:1E:95:AB:7F:02, 2019-11-16 19:31:25, 2019-11-16 19:46:35, 11,  54, WPA2, CCMP,PSK, -82,       27,        2,   0.  0.  0.  0,   9, TELUS5081, 
9C:1E:95:22:B1:E2, 2019-11-16 19:34:52, 2019-11-16 19:46:35, 11,  54, WPA2, CCMP,PSK, -82,      357,       22,   0.  0.  0.  0,   9, TELUS0199, 
10:78:5B:F5:22:62, 2019-11-16 19:35:12, 2019-11-16 19:46:34,  9,  54, WPA2, CCMP,PSK, -83,       29,        0,   0.  0.  0.  0,  10, Recovery27, 
10:78:5B:F4:41:92, 2019-11-16 19:35:07, 2019-11-16 19:46:36, 11,  54, WPA2, CCMP,PSK, -84,       64,       39,   0.  0.  0.  0,   9, TELUS2546, 
64:77:7D:96:79:49, 2019-11-16 19:46:14, 2019-11-16 19:46:14,  1,  54, WPA2, CCMP, MGT, -82,        1,        0,   0.  0.  0.  0,  17, ShawMobileHotspot, 
50:C7:BF:1A:43:63, 2019-11-16 19:31:32, 2019-11-16 19:50:48,  3,  54, WPA2, CCMP,PSK, -79,       87,        8,   0.  0.  0.  0,  14, Gateway 2.4GHz, 
