
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
A0:40:A0:98:7C:7B, 2019-11-16 22:27:24, 2019-11-16 22:33:53,  8,  54, WPA2, CCMP,PSK, -74,       53,        0,   0.  0.  0.  0,   9, NETGEAR19, 
70:6D:15:07:F1:52, 2019-11-16 22:27:32, 2019-11-16 22:33:54, 11,  54, WPA2, CCMP, MGT, -84,       17,        0,   0.  0.  0.  0,   1, \x00, 
A0:63:91:A4:0E:F3, 2019-11-16 22:31:22, 2019-11-16 22:33:29,  6,  54, WPA2 WPA, CCMP TKIP,PSK, -87,        2,        0,   0.  0.  0.  0,   6, A40EF3, 
BC:9B:68:46:3A:56, 2019-11-16 22:27:28, 2019-11-16 22:33:18,  6,  54, WPA2, CCMP,PSK, -82,       38,        0,   0.  0.  0.  0,   6, Aquino, 
70:62:B8:70:F0:06, 2019-11-16 22:28:29, 2019-11-16 22:33:15,  1,  54, WPA2, CCMP,PSK, -86,        2,        0,   0.  0.  0.  0,   7, CHAN2.4, 
50:C7:BF:1A:43:63, 2019-11-16 22:27:26, 2019-11-16 22:33:17,  4,  54, WPA2, CCMP,PSK, -87,       63,        2,   0.  0.  0.  0,  14, Gateway 2.4GHz, 
10:78:5B:D4:C1:D2, 2019-11-16 22:27:58, 2019-11-16 22:33:18,  6,  54, WPA2, CCMP,PSK, -88,        3,        3,   0.  0.  0.  0,  15, silverhome-2.4G, 
9C:1E:95:9F:18:72, 2019-11-16 22:28:05, 2019-11-16 22:33:08, 11,  54, WPA2, CCMP,PSK, -87,        5,        0,   0.  0.  0.  0,   9, TELUS5184, 
FC:2B:B2:C5:6E:32, 2019-11-16 22:33:07, 2019-11-16 22:33:07, 11,  54, WPA2, CCMP,PSK, -90,        0,        0,   0.  0.  0.  0,   9, TELUS2884, 
F8:1D:0F:6E:C6:39, 2019-11-16 22:30:00, 2019-11-16 22:32:54,  8,  54, WPA2, CCMP, MGT, -82,        0,        0,   0.  0.  0.  0,  17, ShawMobileHotspot, 
70:F1:96:58:2D:A2, 2019-11-16 22:29:36, 2019-11-16 22:32:53,  6,  54, WPA2, CCMP,PSK, -90,        1,        4,   0.  0.  0.  0,  14, TELUS2119-2.4G, 
F8:1D:0F:6E:C6:38, 2019-11-16 22:31:23, 2019-11-16 22:32:40,  8,  54, WPA2, CCMP TKIP,PSK, -84,        1,        1,   0.  0.  0.  0,  11, SHAW-6EC630, 
BC:9B:68:46:3A:57, 2019-11-16 22:27:32, 2019-11-16 22:32:27,  6,  54, WPA2, CCMP,PSK, -80,       33,        0,   0.  0.  0.  0,   0, , 
9C:1E:95:38:DF:A2, 2019-11-16 22:28:49, 2019-11-16 22:31:51, 11,  54, WPA2, CCMP,PSK, -86,        4,        0,   0.  0.  0.  0,   9, TELUS1225, 
FC:2B:B2:A4:12:C2, 2019-11-16 22:27:32, 2019-11-16 22:31:44, 11,  54, WPA2, CCMP,PSK, -88,        5,        1,   0.  0.  0.  0,   9, TELUS3845, 
C0:7C:D1:60:79:E8, 2019-11-16 22:31:30, 2019-11-16 22:31:30,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -88,        1,        0,   0.  0.  0.  0,  11, SHAW-6589AE, 
4C:8B:30:5E:B7:8D, 2019-11-16 22:29:04, 2019-11-16 22:31:04,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
44:1C:12:19:F9:87, 2019-11-16 22:28:45, 2019-11-16 22:30:53,  1,  54, WPA2, CCMP,PSK, -85,        1,        2,   0.  0.  0.  0,  13, Jurassic park, 
9C:1E:95:C2:79:F2, 2019-11-16 22:29:03, 2019-11-16 22:30:53,  6,  54, WPA2, CCMP,PSK, -86,        2,        0,   0.  0.  0.  0,   9, TELUS4135, 
58:D5:6E:D8:07:E8, 2019-11-16 22:30:26, 2019-11-16 22:30:30, 10,  54, WPA2, CCMP TKIP,PSK, -87,        2,        0,   0.  0.  0.  0,  10, dlink-07E7, 
B0:BE:76:D5:62:67, 2019-11-16 22:28:16, 2019-11-16 22:28:16,  6,  -1, WPA, ,   , -90,        0,        1,   0.  0.  0.  0,   0, , 
0C:47:3D:B5:16:C8, 2019-11-16 22:27:56, 2019-11-16 22:27:56,  9,  54, WPA2, CCMP TKIP,PSK, -86,        1,        0,   0.  0.  0.  0,   8, CGN-16C0, 
64:77:7D:A6:A7:88, 2019-11-16 22:28:23, 2019-11-16 22:28:23,  6,  54, WPA2, CCMP,PSK, -88,        0,        0,   0.  0.  0.  0,  11, SHAW-A6A780, 
FC:2B:B2:C3:B8:16, 2019-11-16 22:28:25, 2019-11-16 22:28:25,  8,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
90:50:CA:5B:E5:E9, 2019-11-16 22:27:55, 2019-11-16 22:28:35,  1,  54, WPA2, CCMP, MGT, -85,        2,        1,   0.  0.  0.  0,  17, ShawMobileHotspot, 
